ds,y,sku
2024-04-04,128,SKU-001
2024-04-05,151,SKU-001
2024-04-06,132,SKU-001
2024-04-07,146,SKU-001
2024-04-08,153,SKU-001
2024-04-09,142,SKU-001
2024-04-10,130,SKU-001
2024-04-11,145,SKU-001
2024-04-12,162,SKU-001
2024-04-13,116,SKU-001
2024-04-14,144,SKU-001
2024-04-15,129,SKU-001
2024-04-16,147,SKU-001
2024-04-17,139,SKU-001
2024-04-18,143,SKU-001
2024-04-19,161,SKU-001
2024-04-20,135,SKU-001
2024-04-21,147,SKU-001
2024-04-22,121,SKU-001
2024-04-23,146,SKU-001
2024-04-24,138,SKU-001
2024-04-25,123,SKU-001
2024-04-26,146,SKU-001
2024-04-27,132,SKU-001
2024-04-28,131,SKU-001
2024-04-29,121,SKU-001
2024-04-30,132,SKU-001
2024-05-01,146,SKU-001
2024-05-02,148,SKU-001
2024-05-03,153,SKU-001
2024-05-04,161,SKU-001
2024-05-05,131,SKU-001
2024-05-06,139,SKU-001
2024-05-07,148,SKU-001
2024-05-08,138,SKU-001
2024-05-09,144,SKU-001
2024-05-10,112,SKU-001
2024-05-11,133,SKU-001
2024-05-12,147,SKU-001
2024-05-13,145,SKU-001
2024-05-14,149,SKU-001
2024-05-15,155,SKU-001
2024-05-16,137,SKU-001
2024-05-17,131,SKU-001
2024-05-18,141,SKU-001
2024-05-19,139,SKU-001
2024-05-20,144,SKU-001
2024-05-21,119,SKU-001
2024-05-22,131,SKU-001
2024-05-23,124,SKU-001
2024-05-24,131,SKU-001
2024-05-25,134,SKU-001
2024-05-26,142,SKU-001
2024-05-27,131,SKU-001
2024-05-28,112,SKU-001
2024-05-29,135,SKU-001
2024-05-30,130,SKU-001
2024-05-31,113,SKU-001
2024-06-01,115,SKU-001
2024-06-02,115,SKU-001
2024-06-03,116,SKU-001
2024-06-04,114,SKU-001
2024-06-05,110,SKU-001
2024-06-06,122,SKU-001
2024-06-07,119,SKU-001
2024-06-08,123,SKU-001
2024-06-09,136,SKU-001
2024-06-10,122,SKU-001
2024-06-11,116,SKU-001
2024-06-12,127,SKU-001
2024-06-13,107,SKU-001
2024-06-14,126,SKU-001
2024-06-15,107,SKU-001
2024-06-16,127,SKU-001
2024-06-17,82,SKU-001
2024-06-18,108,SKU-001
2024-06-19,108,SKU-001
2024-06-20,99,SKU-001
2024-06-21,105,SKU-001
2024-06-22,112,SKU-001
2024-06-23,123,SKU-001
2024-06-24,127,SKU-001
2024-06-25,100,SKU-001
2024-06-26,120,SKU-001
2024-06-27,100,SKU-001
2024-06-28,111,SKU-001
2024-06-29,106,SKU-001
2024-06-30,130,SKU-001
2024-07-01,99,SKU-001
2024-07-02,104,SKU-001
2024-07-03,110,SKU-001
2024-07-04,104,SKU-001
2024-07-05,102,SKU-001
2024-07-06,101,SKU-001
2024-07-07,105,SKU-001
2024-07-08,107,SKU-001
2024-07-09,111,SKU-001
2024-07-10,92,SKU-001
2024-07-11,100,SKU-001
2024-07-12,91,SKU-001
2024-07-13,103,SKU-001
2024-07-14,84,SKU-001
2024-07-15,112,SKU-001
2024-07-16,102,SKU-001
2024-07-17,117,SKU-001
2024-07-18,112,SKU-001
2024-07-19,105,SKU-001
2024-07-20,66,SKU-001
2024-07-21,111,SKU-001
2024-07-22,103,SKU-001
2024-07-23,102,SKU-001
2024-07-24,95,SKU-001
2024-07-25,84,SKU-001
2024-07-26,98,SKU-001
2024-07-27,98,SKU-001
2024-07-28,100,SKU-001
2024-07-29,112,SKU-001
2024-07-30,79,SKU-001
2024-07-31,103,SKU-001
2024-08-01,91,SKU-001
2024-08-02,85,SKU-001
2024-08-03,99,SKU-001
2024-08-04,86,SKU-001
2024-08-05,94,SKU-001
2024-08-06,72,SKU-001
2024-08-07,87,SKU-001
2024-08-08,84,SKU-001
2024-08-09,84,SKU-001
2024-08-10,85,SKU-001
2024-08-11,99,SKU-001
2024-08-12,99,SKU-001
2024-08-13,88,SKU-001
2024-08-14,76,SKU-001
2024-08-15,79,SKU-001
2024-08-16,97,SKU-001
2024-08-17,84,SKU-001
2024-08-18,85,SKU-001
2024-08-19,88,SKU-001
2024-08-20,84,SKU-001
2024-08-21,76,SKU-001
2024-08-22,98,SKU-001
2024-08-23,95,SKU-001
2024-08-24,97,SKU-001
2024-08-25,90,SKU-001
2024-08-26,81,SKU-001
2024-08-27,79,SKU-001
2024-08-28,96,SKU-001
2024-08-29,75,SKU-001
2024-08-30,72,SKU-001
2024-08-31,73,SKU-001
2024-09-01,88,SKU-001
2024-09-02,78,SKU-001
2024-09-03,83,SKU-001
2024-09-04,81,SKU-001
2024-09-05,79,SKU-001
2024-09-06,80,SKU-001
2024-09-07,79,SKU-001
2024-09-08,71,SKU-001
2024-09-09,77,SKU-001
2024-09-10,68,SKU-001
2024-09-11,73,SKU-001
2024-09-12,85,SKU-001
2024-09-13,93,SKU-001
2024-09-14,81,SKU-001
2024-09-15,86,SKU-001
2024-09-16,87,SKU-001
2024-09-17,100,SKU-001
2024-09-18,98,SKU-001
2024-09-19,61,SKU-001
2024-09-20,82,SKU-001
2024-09-21,89,SKU-001
2024-09-22,72,SKU-001
2024-09-23,89,SKU-001
2024-09-24,65,SKU-001
2024-09-25,63,SKU-001
2024-09-26,90,SKU-001
2024-09-27,75,SKU-001
2024-09-28,95,SKU-001
